timestamp,2a. high (CNY),1b. open (USD),4b. close (USD),5. volume,1a. open (CNY),3a. low (CNY),6. market cap (USD),4a. close (CNY),2b. high (USD),3b. low (USD)
2014-06-25,3677.32732977,589.42699900,572.29856012,68891.10355436,3664.93860494,3556.22619943,39426279.36911514,3559.72680346,591.38969027,571.73576675
2014-06-26,3640.27276457,571.87440981,585.12665549,53195.42449865,3557.08856646,3547.83293850,31126060.82447972,3635.83485146,585.84086320,570.38637916
2014-06-27,3777.23436728,584.27270455,608.54271477,61867.76575257,3630.52860780,3628.36767825,37649178.12800418,3777.23436728,608.54271477,583.92493917
2014-06-28,3800.81383342,609.06617088,600.14080231,65696.80722435,3780.48346768,3720.64834697,39427334.59715491,3724.60525000,612.42019230,599.50323167
2014-06-29,3771.30427476,600.20206672,604.05762217,48217.57768891,3724.98547033,3714.60674864,29126195.32567740,3748.66260385,607.70217274,598.56602054
2014-06-30,3977.87403523,604.13818935,642.06585100,118473.75011537,3749.16258789,3734.39445098,76067949.18846776,3977.87403523,642.06585100,601.75845914
2014-07-01,4079.11459961,642.98262780,643.07065603,104756.91616218,3983.55386176,3966.40333712,67366098.79973865,3981.27551122,658.52085738,640.29198884
2014-07-02,4064.11718682,641.45494662,650.07403669,90700.98745828,3971.27259126,3937.07023542,58962357.04842804,4030.43237442,656.00652159,635.85239692
2014-07-03,4032.87982172,649.79554901,643.04393619,79765.53391309,4028.70576226,3967.59349807,51292742.89945916,3987.68328276,650.47508382,639.88376051
2014-07-04,4007.68986239,642.60212742,629.18398743,71036.92270244,3984.94351127,3898.28471766,44695294.28047348,3899.86922172,646.28515514,628.92835204
2014-07-05,3918.71282003,629.18586879,628.40510170,48984.62090498,3899.88088294,3875.29565662,30782185.68135838,3896.13865194,632.04607130,625.04335157
2014-07-06,3930.58829266,628.61288837,630.38239193,48934.31738701,3897.42693827,3892.81648787,30847332.04199142,3912.06487080,633.96145683,627.86927250
2014-07-07,3915.96945595,630.66025564,616.72431337,108326.79046341,3913.78925409,3809.63931204,66807765.46829452,3823.02961444,631.73147008,614.21048617
2014-07-08,3866.79138197,617.65564791,619.85226103,79753.31507216,3828.80289019,3812.04811340,49435272.67174977,3841.86290940,623.86620792,614.98434543
2014-07-09,3866.69354074,620.01739817,619.37465966,70504.75771236,3842.88643441,3823.62086351,43668860.31261808,3836.39549320,624.44967376,617.33515703
2014-07-10,3843.83915310,619.25512317,612.61040988,84294.29970875,3835.65508630,3768.10064112,51639565.49480224,3794.96159787,620.81606377,608.15533259
2014-07-11,3885.45779341,613.18693254,625.63022881,89925.63058168,3798.53300532,3783.11613735,56260192.83644734,3876.23159812,626.90130290,610.68097755
2014-07-12,3914.02316322,626.30177616,631.57538510,134025.63177706,3880.39231947,3842.23613499,84647290.00300047,3912.49961658,631.82132367,620.23310017
2014-07-13,3912.84030808,631.63038124,622.33784087,94763.40585322,3912.84030808,3850.86370563,58974853.39196490,3855.04686174,631.63038124,621.66253485
2014-07-14,3855.63023316,622.29938755,612.63575253,87750.23015321,3854.80866421,3794.23484037,53758928.28493147,3797.03552629,622.44960204,612.36003708
2014-07-15,3838.16761099,612.57285653,615.08759486,75179.66624866,3796.64570517,3795.07525443,46242080.09491731,3813.67348667,619.03512976,612.23609912
